日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語(簡),中国語(繁)
すじがねいり,Stalwart,Nerfs d'Acier,Stahlrückgrat,Volontà di Ferro,Acérrimol,굳건한신념,坚毅,堅毅
じょうききかん,Steam Engine,Turbine,Dampfantrieb,Vapormacchina,Combustible,증기기관,蒸汽机,蒸汽機
パンクロック,Punk Rock,Punk Rock,Punk Rock,Punk Rock,Punk Rock,펑크록,庞克摇滚,龐克搖滾
すなはき,Sand Spit,Expul'Sable,Sandspeier,Sputasabbia,Expulsarena,모래뿜기,吐沙,吐沙
こおりのりんぷん,Ice Scales,Écailles Glacées,Eisflügelstaub,Geloscaglie,Escama de Hielo,얼음인분,冰鳞粉,冰鱗粉
じゅくせい,Ripen,Mûrissement,Heranreifen,Maturazione,Maduración,숙성,熟成,熟成
アイスフェイス,Ice Face,Tête de Gel,Tiefkühlkopf,Gelofaccia,Cara de hielo,아이스페이스,结冻头,結凍頭
パワースポット,Power Spot,Cercle d'Énergie,Kraftquelle,Fonte Energetica,Fuente Energía,파워스폿,能量点,能量點
ぎたい,Mimicry,Mimétisme,Mimese,Mimetismo,Mimetismo,의태,拟态,擬態
バリアフリー,Screen Cleaner,Brise-Barrière,Hemmungslos,Annullabarriere,Antibarrera,배리어프리,除障,除障
はがねのせいしん,Steely Spirit,Boost Acier,Stählerner Wille,Spiritoferreo,Alma Acerada,강철정신,钢之意志,鋼之意志
ほろびのボディ,Perish Body,Corps Condamné,Unheilskörper,Ultimotocco,Cuerpo Mortal,멸망의바디,灭亡之躯,滅亡之軀
さまようたましい,Wandering Spirit,Âme Vagabonde,Rastlose Seele,Anima Errante,Alma Errante,떠도는영혼,游魂,遊魂
ごりむちゅう,Gorilla Tactics,Entêtement,Affenfokus,Vigorilla,Monotema,무아지경,一猩一意,一猩一意
かがくへんかガス,Neutralizing Gas,Gaz Inhibiteur,Reaktionsgas,Gas Reagente,Gas Reactivo,화학변화가스,化学变化气体,化學變化氣體
パステルベール,Pastel Veil,Voile Pastel,Pastellhülle,Pastelvelo,Velo Pastel,파스텔베일,粉彩护幕,粉彩護幕
はらぺこスイッチ,Hunger Switch,Déclic Fringale,Heißhunger,Pancialterna,Mutapetito,꼬르륵스위치,饱了又饿,飽了又餓
クイックドロウ,Quick Draw,Tir Vif,Schnellschuss,Colpolesto,Mano Rápida,퀵드로,速击,速擊
ふかしのこぶし,Unseen Fist,Poing Invisible,Verborgene Faust,Pugni Invisibili,Puño Invisible,보이지않는주먹,无形拳,無形拳
トランジスタ,Transistor,Transistor,Transistor,Transistor,Transistor,트랜지스터,电晶体,電晶體
りゅうのあぎと,Dragon's Maw,Dent de Dragon,Drachenkiefer,Dragomascelle,Mandíbula Dragón,용의턱,龙颚,龍顎
きみょうなくすり,Curious Medicine,Breuvage Suspect,Kuriose Arznei,Stranofarmaco,Medicina Extraña,기묘한약,怪药,怪藥
しろのいななき,Chilling Neigh,Blanche Ruade,Helles Wiehern,Nitrito Bianco,Relincho Blanco,백의울음,苍白嘶鸣,蒼白嘶鳴
くろのいななき,Grim Neigh,Sombre Ruade,Dunkles Wiehern,Nitrito Nero,Relincho Negro,흑의울음,漆黑嘶鸣,漆黑嘶鳴
じんばいったい,As One,Osmose Équine,Reitgespann,Sintonia Equina,Unidad Ecuestre,혼연일체,人马一体,人馬一体
いかりのこうら,Anger Shell,Courroupace,Wutpanzer,Iraguscio,Coraza Ira,분노의껍질,愤怒甲壳,憤怒甲殼
いわはこび,Rocky Payload,Porte-Roche,Steinträger,Portamassi,Transportarrocas,바위나르기,搬岩,搬岩
おうごんのからだ,Good as Gold,Corps en Or,Goldkörper,Corpo Aureo,Cuerpo Áureo,황금몸,黄金之躯,黃金之軀
おもかげやどし,Embody Aspect,Force Mémorielle,Erinnerungskraft,Albergamemorie,Evocarrecuerdos,초상투영,面影辉映,面影輝映
おもてなし,Hospitality,Aux Petits Soins,Gastlichkeit,Ospitalità,Hospitalidad,대접,款待,款待
かぜのり,Wind Rider,Aéroporté,Windreiter,Vento Propizio,Surcavientos,바람타기,乘风,乘風
かんろなミツ,Supersweet Syrup,Nectar Mielleux,Süßer Nektar,Sciroppo Sublime,Néctar Dulce,감미로운꿀,甘露之蜜,甘露之蜜
きょうえん,Costar,Collab,Synchronauftritt,Coprotagonismo,Unísono,협연,同台共演,同台共演
きよめのしお,Purifying Salt,Sel Purificateur,Läutersalz,Sale Purificante,Sal Purificadora,정화의소금,洁净之盐,潔淨之鹽
きれあじ,Sharpness,Incisif,Scharfkantig,Affilama,Cortante,예리함,锋锐,鋒銳
きんしのちから,Mycelium Might,Force Fongique,Myzelienkraft,Micoforza,Poder Fúngico,균사의힘,菌丝之力,菌絲之力
クォークチャージ,Quark Drive,Charge Quantique,Quantenantrieb,Carica Quark,Carga Cuark,쿼크차지,夸克充能,夸克充能
こだいかっせい,Protosynthesis,Paléosynthèse,Paläosynthese,Paleoattivazione,Paleosíntesis,고대활성,古代活性,古代活性
こぼれダネ,Seed Sower,Semencier,Streusaat,Spargisemi,Disemillar,넘치는씨,掉出种子,掉出種子
こんがりボディ,Well-Baked Body,Bien Cuit,Knusperkruste,Bentostato,Cuerpo Horneado,노릇노릇바디,焦香之躯,焦香之軀
しれいとう,Commander,Commandant,Kommandant,Torre di Comando,Comandar,사령탑,发号施令,發號施令
しんがん,Mind's Eye,Œil Révélateur,Geistiges Auge,Occhio Interiore,Ojo Mental,심안,心眼,心眼
ゼロフォーミング,Teraform Zero,Téraformation 0,Teraforming Null,Zeroformazione,Teraformación 0,제로포밍,归零化境,歸零化境
そうだいしょう,Supreme Overlord,Général Suprême,Feldherr,Generale Supremo,General Supremo,총대장,大将,大將
テイルアーマー,Armor Tail,Armure Caudale,Schweifrüstung,Codarmatura,Cola Armadura,테일아머,尾甲,尾甲
テラスシェル,Tera Shell,Téra-Carapace,Tera-Panzer,Teraguscio,Teracaparazón,테라셸,太晶甲壳,太晶甲殼
テラスチェンジ,Tera Shift,Téramorphose,Tera-Wandel,Teramorfosi,Teracambio,테라체인지,太晶变形,太晶變形
でんきにかえる,Electromorphosis,Grecharge,Dynamo,Convertivolt,Dinamo,전기로바꾸기,电力转换,電力轉換
どくくぐつ,Poison Puppeteer,Emprise Toxique,Giftpuppenspiel,Malia Tossica,Títere Tóxico,독조종,毒傀儡,毒傀儡
どくげしょう,Toxic Debris,Dépôt Toxique,Giftbelag,Mantossina,Capa Tóxica,독치장,毒满地,毒滿地
どくのくさり,Toxic Chain,Chaîne Toxique,Giftkette,Catena Tossica,Cadena Tóxica,독사슬,毒锁链,毒鎖鏈
どしょく,Earth Eater,Absorbe-Terre,Bodenschmaus,Mangiaterra,Geofagia,흙먹기,食土,食土
とれないにおい,Lingering Aroma,Odeur Tenace,Duftschwade,Odore Tenace,Olor Persistente,가시지않는향기,甩不掉的气味,甩不掉的氣味
ねつこうかん,Thermal Exchange,Thermodynamique,Thermowandel,Termoscambio,Termoconversión,열교환,热交换,熱交換
ハドロンエンジン,Hadron Engine,Moteur à Hadrons,Hadronen-Motor,Motore Adronico,Motor Hadrónico,하드론엔진,强子引擎,強子引擎
ばんけん,Guard Dog,Chien de Garde,Wachhund,Cane da Guardia,Perro Guardián,파수견,看门犬,看門犬
はんすう,Cud Chew,Ruminant,Wiederkäuer,Ruminante,Rumia,되새김질,反刍,反芻
ひひいろのこどう,Orichalcum Pulse,Pouls Orichalque,Orichalkum-Puls,Ritmo d'Oricalco,Latido Oricalco,진홍빛고동,绯红脉动,緋紅脈動
びんじょう,Opportunist,Opportuniste,Profiteur,Scrocco,Oportunista,편승,跟风,跟風
ふうりょくでんき,Wind Power,Turbine Éolienne,Windkraft,Energia Eolica,Energía Eólica,풍력발전,风力发电,風力發電
マイティチェンジ,Zero to Hero,Supermutation,Superwechsel,Supercambio,Cambio Heroico,마이티체인지,全能变身,全能變身
わざわいのうつわ,Vessel of Ruin,Urne du Fléau,Unheilsgefäß,Vaso Nefasto,Caldero Debacle,재앙의그릇,灾祸之鼎,災禍之鼎
わざわいのおふだ,Tablets of Ruin,Bois du Fléau,Unheilstafeln,Amuleto Nefasto,Tablilla Debacle,재앙의목간,灾祸之简,災禍之簡
わざわいのたま,Beads of Ruin,Perles du Fléau,Unheilsjuwelen,Monile Nefasto,Abalorio Debacle,재앙의구슬,灾祸之玉,災禍之玉
わざわいのつるぎ,Sword of Ruin,Épée du Fléau,Unheilsschwert,Spada Nefasta,Espada Debacle,재앙의검,灾祸之剑,災禍之劍
