日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語(簡),中国語(繁)
うずしお,Whirlpool,Siphon,Whirlpool,Mulinello,Torbellino,바다회오리,潮旋,潮旋
ふくろだたき,Beat Up,Baston,Prügler,Picchiaduro,Paliza,집단구타,围攻,圍攻
ねこだまし,Fake Out,Bluff,Mogelhieb,Bruciapelo,Sorpresa,속이다,击掌奇袭,擊掌奇襲
さわぐ,Uproar,Brouhaha,Aufruhr,Baraonda,Alboroto,소란피기,吵闹,吵鬧
たくわえる,Stockpile,Stockage,Horter,Accumulo,Reserva,비축하기,蓄力,蓄力
はきだす,Spit Up,Relâche,Entfessler,Sfoghenergia,Escupir,토해내기,喷出,噴出
のみこむ,Swallow,Avale,Verzehrer,Introenergia,Tragar,꿀꺽,吞下,吞下
ねっぷう,Heat Wave,Canicule,Hitzewelle,Ondacalda,Onda Ígnea,열풍,热风,熱風
あられ,Hail,Grêle,Hagelsturm,Grandine,Granizo,싸라기눈,冰雹,冰雹
いちゃもん,Torment,Tourmente,Folterknecht,Attaccalite,Tormento,트집,无理取闹,無理取鬧
おだてる,Flatter,Flatterie,Schmeichler,Adulazione,Camelo,부추기기,吹捧,吹捧
おにび,Will-O-Wisp,Feu Follet,Irrlicht,Fuocofatuo,Fuego Fatuo,도깨비불,鬼火,鬼火
おきみやげ,Memento,Souvenir,Memento-Mori,Memento,Legado,추억의선물,临别礼物,臨別禮物
からげんき,Facade,Façade,Fassade,Facciata,Imagen,객기,硬撑,硬撐
きあいパンチ,Focus Punch,Mitra-Poing,Power-Punch,Centripugno,Puño Certero,힘껏펀치,真气拳,真氣拳
きつけ,Smelling Salts,Stimulant,Riechsalz,Maniereforti,Estímulo,정신차리기,清醒,清醒
このゆびとまれ,Follow Me,Par Ici,Spotlight,Sonoqui,Señuelo,날따름,看我嘛,看我嘛
しぜんのちから,Nature Power,Force-Nature,Natur-Kraft,Naturforza,Adaptación,자연의힘,自然之力,自然之力
じゅうでん,Charge,Chargeur,Ladevorgang,Sottocarica,Carga,충전,充电,充電
ちょうはつ,Taunt,Provoc,Verhöhner,Provocazione,Mofa,도발,挑衅,挑釁
てだすけ,Helping Hand,Coup d’Main,Rechte Hand,Altruismo,Refuerzo,도우미,帮助,幫助
トリック,Trick,Tourmagik,Trickbetrug,Raggiro,Truco,트릭,戏法,戲法
なりきり,Role Play,Imitation,Rollentausch,Giocodiruolo,Imitación,역할,扮演,扮演
ねがいごと,Wish,Vœu,Wunschtraum,Desiderio,Deseo,희망사항,祈愿,祈願
ねこのて,Assist,Assistance,Zuschuss,Assistente,Ayuda,조수,借助,借助
ねをはる,Ingrain,Racines,Verwurzler,Radicamento,Arraigo,뿌리박기,扎根,扎根
ばかぢから,Superpower,Surpuissance,Kraftkoloss,Troppoforte,Fuerza Bruta,엄청난힘,蛮力,蠻力
マジックコート,Magic Coat,Reflet Magik,Magiemantel,Magivelo,Capa Mágica,매직코트,魔法反射,魔法反射
リサイクル,Recycle,Recyclage,Aufbereitung,Riciclo,Reciclaje,리사이클,回收利用,回收利用
リベンジ,Revenge,Vendetta,Vergeltung,Vendetta,Desquite,리벤지,报复,報復
かわらわり,Brick Break,Casse-Brique,Durchbruch,Breccia,Demolición,깨트리다,劈瓦,劈瓦
あくび,Yawn,Bâillement,Gähner,Sbadiglio,Bostezo,하품,哈欠,哈欠
はたきおとす,Knock Off,Sabotage,Abschlag,Privazione,Desarme,탁쳐서떨구기,拍落,拍落
がむしゃら,Endeavor,Effort,Notsituation,Rimonta,Esfuerzo,죽기살기,蛮干,蠻幹
ふんか,Eruption,Éruption,Eruption,Eruzione,Estallido,분화,喷火,噴火
スキルスワップ,Skill Swap,Échange,Wertewechsel,Baratto,Intercambio,스킬스웹,特性互换,特性互換
ふういん,Imprison,Possessif,Begrenzer,Esclusiva,Cerca,봉인,封印,封印
リフレッシュ,Refresh,Régénération,Heilung,Rinfrescata,Alivio,리프레쉬,焕然一新,煥然一新
おんねん,Grudge,Rancune,Nachspiel,Rancore,Rabia,원념,怨念,怨念
よこどり,Snatch,Saisie,Übernahme,Scippo,Robo,가로챔,抢夺,搶奪
ひみつのちから,Secret Power,Force Cachée,Geheimpower,Forzasegreta,Daño Secreto,비밀의힘,秘密之力,秘密之力
ダイビング,Dive,Plongée,Taucher,Sub,Buceo,다이빙,潜水,潛水
つっぱり,Arm Thrust,Cogne,Armstoß,Sberletese,Empujón,손바닥치기,猛推,猛推
ほごしょく,Camouflage,Camouflage,Tarnung,Camuffamento,Camuflaje,보호색,保护色,保護色
ほたるび,Tail Glow,Lumiqueue,Schweifglanz,Codadiluce,Ráfaga,반딧불,萤火,螢火
ラスターパージ,Luster Purge,Lumi-Éclat,Scheinwerfer,Abbagliante,Resplandor,라스트버지,洁净光芒,潔淨光芒
ミストボール,Mist Ball,Ball’Brume,Nebelball,Foschisfera,Bola Neblina,미스트볼,薄雾球,薄霧球
フェザーダンス,Feather Dance,Danse-Plume,Daunenreigen,Danzadipiume,Danza Pluma,깃털댄스,羽毛舞,羽毛舞
フラフラダンス,Teeter Dance,Danse-Folle,Taumeltanz,Strampadanza,Danza Caos,흔들흔들댄스,摇晃舞,搖晃舞
ブレイズキック,Blaze Kick,Pied Brûleur,Feuerfeger,Calciardente,Patada Ígnea,브레이즈킥,火焰踢,火焰踢
どろあそび,Mud Sport,Lance-Boue,Lehmsuhler,Fangata,Chapoteo Lodo,흙놀이,玩泥巴,玩泥巴
アイスボール,Ice Ball,Ball’Glace,Frostbeule,Palla Gelo,Bola Hielo,아이스볼,冰球,冰球
ニードルアーム,Needle Arm,Poing Dard,Nietenranke,Pugnospine,Brazo Pincho,바늘팔,尖刺臂,尖刺臂
なまける,Slack Off,Paresse,Tagedieb,Pigro,Relajo,태만함,偷懒,偷懶
ハイパーボイス,Hyper Voice,Mégaphone,Schallwelle,Granvoce,Vozarrón,하이퍼보이스,巨声,巨聲
どくどくのキバ,Poison Fang,Crochet Venin,Giftzahn,Velenodenti,Colmillo Ven,독엄니,剧毒牙,劇毒牙
ブレイククロー,Crush Claw,Éclate Griffe,Zermalmklaue,Tritartigli,Garra Brutal,브레이크크루,撕裂爪,撕裂爪
ブラストバーン,Blast Burn,Rafale Feu,Lohekanonade,Incendio,Anillo Ígneo,블러스트번,爆炸烈焰,爆炸烈焰
ハイドロカノン,Hydro Cannon,Hydroblast,Aquahaubitze,Idrocannone,Hidrocañón,하이드로캐논,加农水炮,加農水炮
コメットパンチ,Meteor Mash,Poing Météore,Sternenhieb,Meteorpugno,Puño Meteoro,코멧펀치,彗星拳,彗星拳
おどろかす,Astonish,Étonnement,Erstauner,Sgomento,Impresionar,놀래키기,惊吓,驚嚇
ウェザーボール,Weather Ball,Ball’Météo,Meteorologe,Palla Clima,Meteorobola,웨더볼,气象球,氣象球
アロマセラピー,Aromatherapy,Aromathérapie,Aromakur,Aromaterapia,Aromaterapia,아로마테라피,芳香治疗,芳香治療
うそなき,Fake Tears,Croco Larme,Trugträne,Falselacrime,Llanto Falso,거짓울음,假哭,假哭
エアカッター,Air Cutter,Tranch’Air,Windschnitt,Aerasoio,Aire Afilado,에어컷터,空气利刃,空氣利刃
オーバーヒート,Overheat,Surchauffe,Hitzekoller,Vampata,Sofoco,오버히트,过热,過熱
かぎわける,Odor Sleuth,Flair,Schnüffler,Segugio,Rastreo,냄새구별,气味侦测,氣味偵測
がんせきふうじ,Rock Tomb,Tomberoche,Felsgrab,Rocciotomba,Tumba Rocas,암석봉인,岩石封锁,岩石封鎖
ぎんいろのかぜ,Silver Wind,Vent Argenté,Silberhauch,Ventargenteo,Viento Plata,은빛바람,银色旋风,銀色旋風
きんぞくおん,Metal Sound,Strido-Son,Metallsound,Ferrostrido,Eco Metálico,금속음,金属音,金屬音
くさぶえ,Grass Whistle,Siffl’Herbe,Grasflöte,Meloderba,Silbato,풀피리,草笛,草笛
くすぐる,Tickle,Chatouille,Spaßkanone,Solletico,Cosquillas,간지르기,挠痒,搔癢
コスモパワー,Cosmic Power,Force Cosmik,Kosmik-Kraft,Cosmoforza,Masa Cósmica,코스믹파워,宇宙力量,宇宙力量
しおふき,Water Spout,Giclédo,Fontränen,Zampillo,Salpicar,해수스파우팅,喷水,噴水
シグナルビーム,Signal Beam,Rayon Signal,Ampelleuchte,Segnoraggio,Doble Rayo,시그널빔,信号光束,信號光束
シャドーパンチ,Shadow Punch,Poing Ombre,Finsterfaust,Pugnodombra,Puño Sombra,섀도펀치,暗影拳,暗影拳
じんつうりき,Extrasensory,Extrasenseur,Sondersensor,Extrasenso,Paranormal,신통력,神通力,神通力
スカイアッパー,Sky Uppercut,Stratopercut,Himmelhieb,Stramontante,Gancho Alto,스카이업퍼,冲天拳,衝天拳
すなじごく,Sand Tomb,Tourbi-Sable,Sandgrab,Sabbiotomba,Bucle Arena,모래지옥,流沙地狱,流沙地獄
ぜったいれいど,Sheer Cold,Glaciation,Eiseskälte,Purogelo,Frío Polar,절대영도,绝对零度,絕對零度
だくりゅう,Muddy Water,Ocroupi,Lehmbrühe,Fanghiglia,Agua Lodosa,탁류,浊流,濁流
タネマシンガン,Bullet Seed,Balle Graine,Kugelsaat,Semitraglia,Recurrente,기관총,种子机关枪,種子機關槍
つばめがえし,Aerial Ace,Aéropique,Aero-Ass,Aeroassalto,Golpe Aéreo,제비반환,燕返,燕返
つららばり,Icicle Spear,Stalagtite,Eisspeer,Gelolancia,Carámbano,고드름침,冰锥,冰錐
てっぺき,Iron Defense,Mur de Fer,Eisenabwehr,Ferroscudo,Defensa Férrea,철벽,铁壁,鐵壁
とおせんぼう,Block,Barrage,Rückentzug,Blocco,Bloqueo,블록,挡路,擋路
とおぼえ,Howl,Grondement,Jauler,Gridodilotta,Aullido,멀리짖음,长嚎,長嚎
ドラゴンクロー,Dragon Claw,Dracogriffe,Drachenklaue,Dragartigli,Garra Dragón,드래곤크루,龙爪,龍爪
ハードプラント,Frenzy Plant,Végé-Attak,Flora-Statue,Radicalbero,Planta Feroz,하드플랜트,疯狂植物,瘋狂植物
ビルドアップ,Bulk Up,Gonflette,Protzer,Granfisico,Corpulencia,벌크업,健美,健美
とびはねる,Bounce,Rebond,Sprungfeder,Rimbalzo,Bote,뛰어오르다,弹跳,彈跳
マッドショット,Mud Shot,Tir de Boue,Lehmschuss,Colpodifango,Disparo Lodo,머드숏,泥巴射击,泥巴射擊
ポイズンテール,Poison Tail,Queue-Poison,Giftschweif,Velenocoda,Cola Veneno,포이즌테일,毒尾,毒尾
ほしがる,Covet,Implore,Bezirzer,Supplica,Antojo,탐내다,渴望,渴望
ボルテッカー,Volt Tackle,Électacle,Volttackle,Locomovolt,Placaje Eléc,볼트태클,伏特攻击,伏特攻擊
マジカルリーフ,Magical Leaf,Feuille Magik,Zauberblatt,Fogliamagica,Hoja Mágica,메지컬리프,魔法叶,魔法葉
みずあそび,Water Sport,Tourniquet,Nassmacher,Docciascudo,Hidrochorro,물놀이,玩水,玩水
めいそう,Calm Mind,Plénitude,Gedankengut,Calmamente,Paz Mental,명상,冥想,冥想
リーフブレード,Leaf Blade,Lame-Feuille,Laubklinge,Fendifoglia,Hoja Aguda,리프블레이드,叶刃,葉刃
りゅうのまい,Dragon Dance,Danse Draco,Drachentanz,Dragodanza,Danza Dragón,용의춤,龙之舞,龍之舞
ロックブラスト,Rock Blast,Boule Roc,Felswurf,Cadutamassi,Pedrada,락블레스트,岩石爆击,岩石爆擊
でんげきは,Shock Wave,Onde de Choc,Schockwelle,Ondashock,Onda Voltio,전격파,电击波,電擊波
みずのはどう,Water Pulse,Vibraqua,Aquawelle,Idropulsar,Hidropulso,물의파동,水之波动,水之波動
はめつのねがい,Doom Desire,Carnareket,Kismetwunsch,Obbliderio,Deseo Oculto,파멸의소원,破灭之愿,破滅之願
サイコブースト,Psycho Boost,Psycho Boost,Psyschub,Psicoslancio,Psicoataque,사이코부스트,精神突进,精神突進
はねやすめ,Roost,Atterrissage,Ruheort,Trespolo,Respiro,날개쉬기,羽栖,羽棲
じゅうりょく,Gravity,Gravité,Erdanziehung,Gravità,Gravedad,중력,重力,重力
ミラクルアイ,Miracle Eye,Œil Miracle,Wunderauge,Miracolvista,Gran Ojo,미라클아이,奇迹之眼,奇跡之眼
めざましビンタ,Wake-Up Slap,Réveil Forcé,Weckruf,Svegliopacca,Espabila,잠깨움뺨치기,唤醒巴掌,喚醒巴掌
アームハンマー,Hammer Arm,Marto-Poing,Hammerarm,Martelpugno,Machada,암해머,臂锤,臂錘
ジャイロボール,Gyro Ball,Gyroballe,Gyroball,Vortexpalla,Giro Bola,자이로볼,陀螺球,陀螺球
いやしのねがい,Healing Wish,Vœu Soin,Heilopfer,Curardore,Deseo Cura,치유소원,治愈之愿,治癒之願
しおみず,Brine,Saumure,Lake,Acquadisale,Salmuera,소금물,盐水,鹽水
しぜんのめぐみ,Natural Gift,Don Naturel,Beerenkräfte,Dononaturale,Don Natural,자연의은혜,自然之恩,自然之恩
フェイント,Feint,Ruse,Offenlegung,Fintoattacco,Amago,페인트,佯攻,佯攻
ついばむ,Pluck,Picore,Pflücker,Spennata,Picoteo,쪼아대기,啄食,啄食
おいかぜ,Tailwind,Vent Arrière,Rückenwind,Ventoincoda,Viento Afín,순풍,顺风,順風
つぼをつく,Acupressure,Acupression,Akupressur,Acupressione,Acupresión,경혈찌르기,点穴,點穴
メタルバースト,Metal Burst,Fulmifer,Metallstoß,Metalscoppio,Represión Metal,메탈버스트,金属爆炸,金屬爆炸
とんぼがえり,U-turn,Demi-Tour,Kehrtwende,Retromarcia,Ida y Vuelta,유턴,急速折返,急速折返
インファイト,Close Combat,Close Combat,Nahkampf,Zuffa,A Bocajarro,인파이트,近身战,近身戰
しっぺがえし,Payback,Représailles,Gegenstoß,Rivincita,Vendetta,보복,以牙还牙,以牙還牙
ダメおし,Assurance,Assurance,Gewissheit,Garanzia,Buena Baza,승부굳히기,恶意追击,惡意追擊
さしおさえ,Embargo,Embargo,Itemsperre,Divieto,Embargo,금제,查封,查封
なげつける,Fling,Dégommage,Schleuder,Lancio,Lanzamiento,내던지기,投掷,投擲
サイコシフト,Psycho Shift,Échange Psy,Psybann,Psicotrasfer,Psicocambio,사이코시프트,精神转移,精神轉移
きりふだ,Trump Card,Atout,Trumpfkarte,Asso,As Oculto,마지막수단,王牌,王牌
かいふくふうじ,Heal Block,Anti-Soin,Heilblockade,Anticura,Anticura,회복봉인,回复封锁,回復封鎖
しぼりとる,Wring Out,Essorage,Auswringen,Strizzata,Estrujón,쥐어짜기,绞紧,絞緊
パワートリック,Power Trick,Astuce Force,Krafttrick,Ingannoforza,Truco Fuerza,파워트릭,力量戏法,力量戲法
いえき,Gastro Acid,Suc Digestif,Magensäfte,Gastroacido,Bilis,위액,胃液,胃液
おまじない,Lucky Chant,Air Veinard,Beschwörung,Fortuncanto,Conjuro,주술,幸运咒语,幸運咒語
さきどり,Me First,Moi d’Abord,Egotrip,Precedenza,Yo Primero,선취,抢先一步,搶先一步
まねっこ,Copycat,Photocopie,Imitator,Copione,Copión,흉내쟁이,仿效,仿效
パワースワップ,Power Swap,Permuforce,Krafttausch,Barattoforza,Cambia Fuerza,파워스웹,力量互换,力量互換
ガードスワップ,Guard Swap,Permugarde,Schutztausch,Barattoscudo,Cambia Defensa,가드스웹,防守互换,防守互換
おしおき,Punishment,Punition,Strafattacke,Punizione,Castigo,혼내기,惩罚,懲罰
とっておき,Last Resort,Dernier Recours,Zuflucht,Ultimascelta,Última Baza,뒀다쓰기,珍藏,珍藏
なやみのタネ,Worry Seed,Soucigraine,Sorgensamen,Affannoseme,Abatidoras,고민씨,烦恼种子,煩惱種子
ふいうち,Sucker Punch,Coup Bas,Tiefschlag,Sbigoattacco,Golpe Bajo,기습,突袭,突襲
どくびし,Toxic Spikes,Pics Toxik,Giftspitzen,Fielepunte,Púas Tóxicas,독압정,毒菱,毒菱
ハートスワップ,Heart Swap,Permucœur,Statustausch,Cuorbaratto,Cambia Almas,하트스웹,心灵互换,心靈互換
アクアリング,Aqua Ring,Anneau Hydro,Wasserring,Acquanello,Acua Aro,아쿠아링,水流环,水流環
でんじふゆう,Magnet Rise,Vol Magnétik,Magnetflug,Magnetascesa,Levitón,전자부유,电磁飘浮,電磁飄浮
フレアドライブ,Flare Blitz,Boutefeu,Flammenblitz,Fuococarica,Envite Ígneo,플레어드라이브,闪焰冲锋,閃焰衝鋒
はっけい,Force Palm,Forte-Paume,Kraftwelle,Palmoforza,Palmeo,발경,发劲,發勁
はどうだん,Aura Sphere,Aurasphère,Aurasphäre,Forzasfera,Esfera Aural,파동탄,波导弹,波導彈
ロックカット,Rock Polish,Poliroche,Steinpolitur,Lucidatura,Pulimento,록커트,岩石打磨,岩石打磨
どくづき,Poison Jab,Direct Toxik,Gifthieb,Velenpuntura,Puya Nociva,독찌르기,毒击,毒擊
あくのはどう,Dark Pulse,Vibrobscur,Finsteraura,Neropulsar,Pulso Umbrío,악의파동,恶之波动,惡之波動
つじぎり,Night Slash,Tranche-Nuit,Nachthieb,Nottesferza,Tajo Umbrío,깜짝베기,暗袭要害,暗襲要害
アクアテール,Aqua Tail,Hydroqueue,Nassschweif,Idrondata,Acua Cola,아쿠아테일,水流尾,水流尾
タネばくだん,Seed Bomb,Canon Graine,Samenbomben,Semebomba,Bomba Germen,씨폭탄,种子炸弹,種子炸彈
エアスラッシュ,Air Slash,Lame d’Air,Luftschnitt,Eterelama,Tajo Aéreo,에어슬래시,空气斩,空氣斬
シザークロス,X-Scissor,Plaie-Croix,Kreuzschere,Forbice X,Tijera X,시저크로스,十字剪,十字剪
むしのさざめき,Bug Buzz,Bourdon,Käfergebrumm,Ronzio,Zumbido,벌레의야단법석,虫鸣,蟲鳴
りゅうのはどう,Dragon Pulse,Dracochoc,Drachenpuls,Dragopulsar,Pulso Dragón,용의파동,龙之波动,龍之波動
ドラゴンダイブ,Dragon Rush,Dracocharge,Drachenstoß,Dragofuria,Carga Dragón,드래곤다이브,龙之俯冲,龍之俯衝
パワージェム,Power Gem,Rayon Gemme,Juwelenkraft,Gemmoforza,Joya de Luz,파워젬,力量宝石,力量寶石
ドレインパンチ,Drain Punch,Vampipoing,Ableithieb,Assorbipugno,Puño Drenaje,드레인펀치,吸取拳,吸取拳
しんくうは,Vacuum Wave,Onde Vide,Vakuumwelle,Vuotonda,Onda Vacío,진공파,真空波,真空波
きあいだま,Focus Blast,Exploforce,Fokusstoß,Focalcolpo,Onda Certera,기합구슬,真气弹,真氣彈
エナジーボール,Energy Ball,Éco-Sphère,Energieball,Energipalla,Energibola,에너지볼,能量球,能量球
ブレイブバード,Brave Bird,Rapace,Sturzflug,Baldeali,Pájaro Osado,브레이브버드,勇鸟猛攻,勇鳥猛攻
だいちのちから,Earth Power,Telluriforce,Erdkräfte,Geoforza,Tierra Viva,대지의힘,大地之力,大地之力
すりかえ,Switcheroo,Passe-Passe,Wechseldich,Rapidscambio,Trapicheo,바꿔치기,掉包,掉包
ギガインパクト,Giga Impact,Giga Impact,Gigastoß,Gigaimpatto,Giga Impacto,기가임팩트,终极冲击,終極衝擊
わるだくみ,Nasty Plot,Machination,Ränkeschmied,Congiura,Maquinación,나쁜음모,诡计,詭計
バレットパンチ,Bullet Punch,Pisto-Poing,Patronenhieb,Pugnoscarica,Puño Bala,불릿펀치,子弹拳,子彈拳
ゆきなだれ,Avalanche,Avalanche,Lawine,Slavina,Alud,눈사태,雪崩,雪崩
こおりのつぶて,Ice Shard,Éclats Glace,Eissplitter,Geloscheggia,Canto Helado,얼음뭉치,冰砾,冰礫
シャドークロー,Shadow Claw,Griffe Ombre,Dunkelklaue,Ombrartigli,Garra Umbría,섀도크루,暗影爪,暗影爪
かみなりのキバ,Thunder Fang,Crocs Éclair,Donnerzahn,Fulmindenti,Colmillo Rayo,번개엄니,雷电牙,雷電牙
こおりのキバ,Ice Fang,Crocs Givre,Eiszahn,Gelodenti,Colmillo Hielo,얼음엄니,冰冻牙,冰凍牙
ほのおのキバ,Fire Fang,Crocs Feu,Feuerzahn,Rogodenti,Colmillo Ígneo,불꽃엄니,火焰牙,火焰牙
かげうち,Shadow Sneak,Ombre Portée,Schattenstoß,Furtivombra,Sombra Vil,야습,影子偷袭,影子偷襲
どろばくだん,Mud Bomb,Boue-Bombe,Schlammbombe,Pantanobomba,Bomba Fango,진흙폭탄,泥巴炸弹,泥巴炸彈
サイコカッター,Psycho Cut,Coupe Psycho,Psychoklinge,Psicotaglio,Psicocorte,사이코커터,精神利刃,精神利刃
しねんのずつき,Zen Headbutt,Psykoud’Boul,Zen-Kopfstoß,Cozzata Zen,Cabezazo Zen,사념의박치기,意念头锤,意念頭錘
ミラーショット,Mirror Shot,Miroi-Tir,Spiegelsalve,Cristalcolpo,Disparo Espejo,미러숏,镜光射击,鏡光射擊
ラスターカノン,Flash Cannon,Luminocanon,Lichtkanone,Cannonflash,Foco Resplandor,러스터캐논,加农光炮,加農光炮
ロッククライム,Rock Climb,Escalade,Kraxler,Scalaroccia,Treparrocas,락클라임,攀岩,攀岩
きりばらい,Defog,Anti-Brume,Auflockern,Scacciabruma,Despejar,안개제거,清除浓雾,清除濃霧
トリックルーム,Trick Room,Distorsion,Bizarroraum,Distortozona,Espacio Raro,트릭룸,戏法空间,戲法空間
りゅうせいぐん,Draco Meteor,Draco Météore,Draco Meteor,Dragobolide,Cometa Draco,용성군,流星群,流星群
ほうでん,Discharge,Coup d’Jus,Ladungsstoß,Scarica,Chispazo,방전,放电,放電
ふんえん,Lava Plume,Ébullilave,Flammensturm,Lavasbuffo,Humareda,분연,喷烟,噴煙
リーフストーム,Leaf Storm,Tempête Verte,Blättersturm,Verdebufera,Lluevehojas,리프스톰,飞叶风暴,飛葉風暴
パワーウィップ,Power Whip,Mégafouet,Blattgeißel,Vigorcolpo,Latigazo,파워휩,强力鞭打,強力鞭打
がんせきほう,Rock Wrecker,Roc-Boulet,Felswerfer,Devastomasso,Romperrocas,암석포,岩石炮,岩石炮
クロスポイズン,Cross Poison,Poison-Croix,Giftstreich,Velenocroce,Veneno X,크로스포이즌,十字毒刃,十字毒刃
ダストシュート,Gunk Shot,Détricanon,Mülltreffer,Sporcolancio,Lanza Mugre,더스트슈트,垃圾射击,垃圾射擊
アイアンヘッド,Iron Head,Tête de Fer,Eisenschädel,Metaltestata,Cabeza de Hierro,아이언헤드,铁头,鐵頭
マグネットボム,Magnet Bomb,Bombaimant,Magnetbombe,Bombagnete,Bomba Imán,마그넷봄,磁铁炸弹,磁鐵炸彈
ストーンエッジ,Stone Edge,Lame de Roc,Steinkante,Pietrataglio,Roca Afilada,스톤에지,尖石攻击,尖石攻擊
ゆうわく,Captivate,Séduction,Liebreiz,Incanto,Seducción,유혹,诱惑,誘惑
ステルスロック,Stealth Rock,Piège de Roc,Tarnsteine,Levitoroccia,Trampa Rocas,스텔스록,隐形岩,隱形岩
くさむすび,Grass Knot,Nœud Herbe,Strauchler,Laccioerboso,Hierba Lazo,풀묶기,打草结,打草結
おしゃべり,Chatter,Babil,Geschwätz,Schiamazzo,Cháchara,수다,喋喋不休,喋喋不休
さばきのつぶて,Judgment,Jugement,Urteilskraft,Giudizio,Sentencia,심판의뭉치,制裁光砾,制裁光礫
むしくい,Bug Bite,Piqûre,Käferbiss,Coleomorso,Picadura,벌레먹음,虫咬,蟲咬
チャージビーム,Charge Beam,Rayon Chargé,Ladestrahl,Raggioscossa,Rayo Carga,차지빔,充电光束,充電光束
ウッドハンマー,Wood Hammer,Martobois,Holzhammer,Mazzuolegno,Mazazo,우드해머,木槌,木槌
アクアジェット,Aqua Jet,Aqua-Jet,Wasserdüse,Acquagetto,Acua Jet,아쿠아제트,水流喷射,水流噴射
こうげきしれい,Attack Order,Appel Attaque,Schlagbefehl,Comandourto,Al Ataque,공격지령,攻击指令,攻擊指令
ぼうぎょしれい,Defend Order,Appel Défense,Blockbefehl,Comandoscudo,A Defender,방어지령,防御指令,防禦指令
かいふくしれい,Heal Order,Appel Soins,Heilbefehl,Comandocura,Auxilio,회복지령,回复指令,回復指令
もろはのずつき,Head Smash,Fracass’Tête,Kopfstoß,Zuccata,Testarazo,양날박치기,双刃头锤,雙刃頭錘
ダブルアタック,Double Hit,Coup Double,Doppelschlag,Doppiosmash,Doble Golpe,더블어택,二连击,二連擊
ときのほうこう,Roar of Time,Hurle-Temps,Zeitenlärm,Fragortempo,Distorsión,시간의포효,时光咆哮,時光咆哮
あくうせつだん,Spacial Rend,Spatio-Rift,Raumschlag,Fendispazio,Corte Vacío,공간절단,亚空裂斩,亞空裂斬
みかづきのまい,Lunar Dance,Danse-Lune,Lunartanz,Lunardanza,Danza Lunar,초승달춤,新月舞,新月舞
にぎりつぶす,Crush Grip,Presse,Quetschgriff,Sbriciolmano,Agarrón,묵사발,捏碎,捏碎
マグマストーム,Magma Storm,Vortex Magma,Lavasturm,Magmaclisma,Lluvia Ígnea,마그마스톰,熔岩风暴,熔岩風暴
ダークホール,Dark Void,Trou Noir,Schlummerort,Vuototetro,Brecha Negra,다크홀,暗黑洞,暗黑洞
シードフレア,Seed Flare,Fulmigraine,Schocksamen,Infuriaseme,Fogonazo,시드플레어,种子闪光,種子閃光
あやしいかぜ,Ominous Wind,Vent Mauvais,Unheilböen,Funestovento,Viento Aciago,괴상한바람,奇异之风,奇異之風
シャドーダイブ,Shadow Force,Revenant,Schemenkraft,Oscurotuffo,Golpe Umbrío,섀도다이브,暗影潜袭,暗影潛襲
つめとぎ,Hone Claws,Aiguisage,Klauenwetzer,Unghiaguzze,Afilagarras,손톱갈기,磨爪,磨爪
ワイドガード,Wide Guard,Garde Large,Rundumschutz,Bodyguard,Vastaguardia,와이드가드,广域防守,廣域防守
ガードシェア,Guard Split,Partage Garde,Schutzteiler,Paridifesa,Isoguardia,가드셰어,防守平分,防守平分
パワーシェア,Power Split,Partage Force,Kraftteiler,Pariattacco,Isofuerza,파워셰어,力量平分,力量平分
ワンダールーム,Wonder Room,Zone Étrange,Wunderraum,Mirabilzona,Zona Extraña,원더룸,奇妙空间,奇妙空間
サイコショック,Psyshock,Choc Psy,Psychoschock,Psicoshock,Psicocarga,사이코쇼크,精神冲击,精神衝擊
ベノムショック,Venoshock,Choc Venin,Giftschock,Velenoshock,Carga Tóxica,베놈쇼크,毒液冲击,毒液衝擊
ボディパージ,Autotomize,Allègement,Autotomie,Sganciapesi,Aligerar,바디퍼지,身体轻量化,身體輕量化
いかりのこな,Rage Powder,Poudre Fureur,Wutpulver,Polverabbia,Polvo Ira,분노가루,愤怒粉,憤怒粉
テレキネシス,Telekinesis,Lévikinésie,Telekinese,Telecinesi,Telequinesis,텔레키네시스,意念移物,意念移物
マジックルーム,Magic Room,Zone Magique,Magieraum,Magicozona,Zona Mágica,매직룸,魔法空间,魔法空間
うちおとす,Smack Down,Anti-Air,Katapult,Abbattimento,Antiaéreo,떨어뜨리기,击落,擊落
やまあらし,Storm Throw,Yama Arashi,Bergsturm,Tempestretta,Llave Corsé,업어후리기,山岚摔,山嵐摔
はじけるほのお,Flame Burst,Rebondifeu,Funkenflug,Pirolancio,Pirotecnia,불꽃튀기기,烈焰溅射,烈焰濺射
ヘドロウェーブ,Sludge Wave,Cradovague,Schlammwoge,Fangonda,Onda Tóxica,오물웨이브,污泥波,污泥波
ちょうのまい,Quiver Dance,Papillodanse,Falterreigen,Eledanza,Danza Aleteo,나비춤,蝶舞,蝶舞
ヘビーボンバー,Heavy Slam,Tacle Lourd,Rammboss,Pesobomba,Cuerpo Pesado,헤비봄버,重磅冲撞,重磅衝撞
シンクロノイズ,Synchronoise,Synchropeine,Synchrolärm,Sincrumore,Sincrorruido,싱크로노이즈,同步干扰,同步干擾
